Site,LAT,LONG ,Categorie,Pays,Continent,En danger
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,34.84694,67.82525,Cultural,Afghanistan,Asia and the Pacific,1
Minaret and Archaeological Remains of Jam,34.39655556,64.51605556,Cultural,Afghanistan,Asia and the Pacific,1
Historic Centres of Berat and Gjirokastra ,40.06944444,20.13333333,Cultural,Albania,Europe and North America,0
Butrint,39.75111111,20.02611111,Cultural,Albania,Europe and North America,0
Al Qal'a of Beni Hammad,35.81844,4.78684,Cultural,Algeria,Arab States,0
M'Zab Valley,32.48333,3.68333,Cultural,Algeria,Arab States,0
Djémila,36.32056,5.73667,Cultural,Algeria,Arab States,0
Tipasa,36.55,2.383333333,Cultural,Algeria,Arab States,0
Timgad,35.45,6.63333,Cultural,Algeria,Arab States,0
Kasbah of Algiers,36.78333,3.06028,Cultural,Algeria,Arab States,0
Madriu-Perafita-Claror Valley,42.49472222,1.595555556,Cultural,Andorra,Europe and North America,0
Antigua Naval Dockyard and Related Archaeological Sites,17.0069444444,-61.7616666667,Cultural,Antigua and Barbuda,Latin America and the Caribbean,0
Cueva de las Manos Río Pinturas,-47.15,-70.66666667,Cultural,Argentina,Latin America and the Caribbean,0
Jesuit Block and Estancias of Córdoba,-31.42056,-64.19111,Cultural,Argentina,Latin America and the Caribbean,0
Quebrada de Humahuaca,-23.19986111,-65.34886111,Cultural,Argentina,Latin America and the Caribbean,0
Monasteries of Haghpat and Sanahin,41.095,44.71028,Cultural,Armenia,Europe and North America,0
Monastery of Geghard and the Upper Azat Valley,40.15889,44.79667,Cultural,Armenia,Europe and North America,0
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,40.15931,44.29514,Cultural,Armenia,Europe and North America,0
Sydney Opera House,-33.8566666667,151.2152777777,Cultural,Australia,Asia and the Pacific,0
Royal Exhibition Building and Carlton Gardens,-37.80611111,144.9702778,Cultural,Australia,Asia and the Pacific,0
Australian Convict Sites,-33.3783333333,150.9944444444,Cultural,Australia,Asia and the Pacific,0
Historic Centre of the City of Salzburg,47.80055556,13.04333333,Cultural,Austria,Europe and North America,0
Semmering Railway,47.64877778,15.82797222,Cultural,Austria,Europe and North America,0
Palace and Gardens of Schönbrunn,48.18666667,16.31333333,Cultural,Austria,Europe and North America,0
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,47.55944444,13.64638889,Cultural,Austria,Europe and North America,0
City of Graz – Historic Centre and Schloss Eggenberg,47.0741666667,15.3916666667,Cultural,Austria,Europe and North America,0
Wachau Cultural Landscape,48.36444444,15.43416667,Cultural,Austria,Europe and North America,0
Historic Centre of Vienna,48.21666667,16.38333333,Cultural,Austria,Europe and North America,0
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,40.36666667,49.83333333,Cultural,Azerbaijan,Europe and North America,0
Gobustan Rock Art Cultural Landscape,40.125,49.375,Cultural,Azerbaijan,Europe and North America,0
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,26.23306,50.5272222222,Cultural,Bahrain,Arab States,0
Pearling Testimony of an Island Economy,26.24128,50.61351,Cultural,Bahrain,Arab States,0
Historic Mosque City of Bagerhat,22.66667,89.8,Cultural,Bangladesh,Asia and the Pacific,0
Ruins of the Buddhist Vihara at Paharpur,25.03333333,88.98333333,Cultural,Bangladesh,Asia and the Pacific,0
Historic Bridgetown and its Garrison,13.0966666667,-59.6138888889,Cultural,Barbados,Latin America and the Caribbean,0
Mir Castle Complex,53.45108333,26.47272222,Cultural,Belarus,Europe and North America,0
Architectural Residential and Cultural Complex of the Radziwill Family at Nesvizh,53.22278,26.69139,Cultural,Belarus,Europe and North America,0
Flemish Béguinages,51.03097222,4.47375,Cultural,Belgium,Europe and North America,0
The Four Lifts on the Canal du Centre and their Environs La Louvière and Le Roeulx (Hainaut),50.48111,4.13722,Cultural,Belgium,Europe and North America,0
La Grand-Place Brussels,50.84668,4.35242,Cultural,Belgium,Europe and North America,0
Historic Centre of Brugge,51.20891,3.22527,Cultural,Belgium,Europe and North America,0
Major Town Houses of the Architect Victor Horta (Brussels),50.82806,4.36223,Cultural,Belgium,Europe and North America,0
Neolithic Flint Mines at Spiennes (Mons),50.43077,3.97879,Cultural,Belgium,Europe and North America,0
Notre-Dame Cathedral in Tournai,50.60603,3.38926,Cultural,Belgium,Europe and North America,0
Plantin-Moretus House-Workshops-Museum Complex,51.21833,4.39778,Cultural,Belgium,Europe and North America,0
Stoclet House,50.835,4.4161111111,Cultural,Belgium,Europe and North America,0
Major Mining Sites of Wallonia,50.4352777778,3.8383333333,Cultural,Belgium,Europe and North America,0
Royal Palaces of Abomey,7.183333333,1.983333333,Cultural,Benin,Africa,0
City of Potosí,-19.58361,-65.75306,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean,1
Jesuit Missions of the Chiquitos,-16,-60.5,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean,0
Historic City of Sucre,-19.04306,-65.25917,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean,0
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,-16.55833333,-68.67778,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean,0
Fuerte de Samaipata,-18.16666667,-63.81666667,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean,0
Old Bridge Area of the Old City of Mostar,43.34812,17.81092,Cultural,Bosnia and Herzegovina,Europe and North America,0
Mehmed Paša Sokolović Bridge in Višegrad,43.7814444444,19.288025,Cultural,Bosnia and Herzegovina,Europe and North America,0
Tsodilo,-18.75,21.73333333,Cultural,Botswana,Africa,0
Historic Town of Ouro Preto,-20.38888889,-43.50555556,Cultural,Brazil,Latin America and the Caribbean,0
Historic Centre of the Town of Olinda,-8.013333333,-34.845,Cultural,Brazil,Latin America and the Caribbean,0
Historic Centre of Salvador de Bahia,-12.96666667,-38.5,Cultural,Brazil,Latin America and the Caribbean,0
Sanctuary of Bom Jesus do Congonhas,-20.49972222,-43.85777778,Cultural,Brazil,Latin America and the Caribbean,0
Brasilia,-15.78333,-47.9,Cultural,Brazil,Latin America and the Caribbean,0
Serra da Capivara National Park,-8.416666667,-42.33333333,Cultural,Brazil,Latin America and the Caribbean,0
Historic Centre of São Luís,-2.514166667,-44.3025,Cultural,Brazil,Latin America and the Caribbean,0
Historic Centre of the Town of Diamantina,-18.23333333,-43.6,Cultural,Brazil,Latin America and the Caribbean,0
Historic Centre of the Town of Goiás,-15.93328,-50.13336,Cultural,Brazil,Latin America and the Caribbean,0
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,-22.9477777778,-43.2913888889,Cultural,Brazil,Latin America and the Caribbean,0
São Francisco Square in the Town of São Cristóvão,-11.0161111111,-37.21,Cultural,Brazil,Latin America and the Caribbean,0
Pampulha Modern Ensemble,-19.8519444444,-43.9736111111,Cultural,Brazil,Latin America and the Caribbean,0
Boyana Church,42.65,23.26666667,Cultural,Bulgaria,Europe and North America,0
Madara Rider,43.3,27.15,Cultural,Bulgaria,Europe and North America,0
Thracian Tomb of Kazanlak,42.61666667,25.4,Cultural,Bulgaria,Europe and North America,0
Rock-Hewn Churches of Ivanovo,43.71666667,25.96666667,Cultural,Bulgaria,Europe and North America,0
Rila Monastery,42.11666667,23.4,Cultural,Bulgaria,Europe and North America,0
Ancient City of Nessebar,42.65611,27.73,Cultural,Bulgaria,Europe and North America,0
Thracian Tomb of Sveshtari,43.66667,26.66667,Cultural,Bulgaria,Europe and North America,0
Ruins of Loropéni,10.25,-3.5833333333,Cultural,Burkina Faso,Africa,0
Cidade Velha Historic Centre of Ribeira Grande,14.9151388889,-23.6051944444,Cultural,Cabo Verde,Africa,0
Angkor,13.43333333,103.8333333,Cultural,Cambodia,Asia and the Pacific,0
Temple of Preah Vihear,14.3883333333,104.6838888889,Cultural,Cambodia,Asia and the Pacific,0
L’Anse aux Meadows National Historic Site,51.46666667,-55.61666667,Cultural,Canada,Europe and North America,0
Sgang Gwaay,52.095,-131.2202778,Cultural,Canada,Europe and North America,0
Head-Smashed-In Buffalo Jump,49.74944444,-113.6238889,Cultural,Canada,Europe and North America,0
Historic District of Old Québec,46.80944444,-71.21055556,Cultural,Canada,Europe and North America,0
Old Town Lunenburg,44.37611111,-64.30916667,Cultural,Canada,Europe and North America,0
Rideau Canal,44.9943861111,-75.765125,Cultural,Canada,Europe and North America,0
Landscape of Grand Pré,45.1183333333,-64.3072222222,Cultural,Canada,Europe and North America,0
Red Bay Basque Whaling Station,51.726925,-56.4295222222,Cultural,Canada,Europe and North America,0
Rapa Nui National Park,-27.15,-109.45,Cultural,Chile,Latin America and the Caribbean,0
Historic Quarter of the Seaport City of Valparaíso,-33.04063889,-71.628,Cultural,Chile,Latin America and the Caribbean,0
Churches of Chiloé,-42.5,-73.76666667,Cultural,Chile,Latin America and the Caribbean,0
Humberstone and Santa Laura Saltpeter Works,-20.20582,-69.79406,Cultural,Chile,Latin America and the Caribbean,1
Sewell Mining Town,-34.0844444444,-70.3827777777,Cultural,Chile,Latin America and the Caribbean,0
The Great Wall,40.41667,116.08333,Cultural,China,Asia and the Pacific,0
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,41.79416667,123.4469444,Cultural,China,Asia and the Pacific,0
Mogao Caves,40.13333,94.81667,Cultural,China,Asia and the Pacific,0
Mausoleum of the First Qin Emperor,34.38333333,109.1,Cultural,China,Asia and the Pacific,0
Peking Man Site at Zhoukoudian,39.73333333,115.9166667,Cultural,China,Asia and the Pacific,0
Mountain Resort and its Outlying Temples Chengde,40.98694,117.93833,Cultural,China,Asia and the Pacific,0
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,35.61167,116.975,Cultural,China,Asia and the Pacific,0
Ancient Building Complex in the Wudang Mountains,32.46667,111,Cultural,China,Asia and the Pacific,0
Historic Ensemble of the Potala Palace Lhasa,29.65792,91.11717,Cultural,China,Asia and the Pacific,0
Lushan National Park,29.43333333,115.8666667,Cultural,China,Asia and the Pacific,0
Old Town of Lijiang,26.86667,100.23333,Cultural,China,Asia and the Pacific,0
Ancient City of Ping Yao,37.20139,112.15444,Cultural,China,Asia and the Pacific,0
Classical Gardens of Suzhou,31.31666667,120.45,Cultural,China,Asia and the Pacific,0
Summer Palace an Imperial Garden in Beijing,39.91055556,116.1411111,Cultural,China,Asia and the Pacific,0
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,39.84555556,116.4447222,Cultural,China,Asia and the Pacific,0
Dazu Rock Carvings,29.70111,105.705,Cultural,China,Asia and the Pacific,0
